Date Collected,Sample.ID,Region,Population,MaterNAl_Family,Individual,B_Number of Stomata,B_Max. Length_Stomata1,B_MidWidth_Stomata1,B_MidWidth_GuardCell_A_Stomata 1,B_MidWidth_GuardCell_B_Stomata1,B_Max. Length_Stomata2,B_MidWidth_Stomata2,B_MidWidth_GuardCell_A_Stomata 2,B_MidWidth_GuardCell_B_Stomata2,B_Max. Length_Stomata3,B_MidWidth_Stomata3,B_MidWidth_GuardCell_A_Stomata3,B_MidWidth_GuardCell_B_Stomata3,T_Number of Stomata,T_Max. Length_Stomata1,T_MidWidth_Stomata1,T_MidWidth_GuardCell_A_Stomata 1,T_MidWidth_GuardCell_B_Stomata1,T_Max. Length_Stomata2,T_MidWidth_Stomata2,T_MidWidth_GuardCell_A_Stomata 2,T_MidWidth_GuardCell_B_Stomata2,T_Max. Length_Stomata3,T_MidWidth_Stomata3,T_MidWidth_GuardCell_A_Stomata3,T_MidWidth_GuardCell_B_Stomata3,Ratio,Av_GCLengthB,Av_GCLengthT,Av_GCLength,Density_B,Density_T,SAI_B,SAI_T
7/27/2016,AB-LL.26.2,Prairie,AB-LL,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/27/2016,AB-LL.26.3,Prairie,AB-LL,26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/27/2016,AB-LL.26.4,Prairie,AB-LL,26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/27/2016,AB-LL.26.6,Prairie,AB-LL,26,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/27/2016,AB-LL.40.1,Prairie,AB-LL,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/27/2016,AB-LL.40.2,Prairie,AB-LL,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/27/2016,AB-LL.40.3,Prairie,AB-LL,40,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/27/2016,AB-LL.40.4,Prairie,AB-LL,40,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/27/2016,AB-LL.40.5,Prairie,AB-LL,40,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/20/2016,CAR-NBA.21.2,GL Alvar,CAR-NBA,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/20/2016,CAR-NBA.21.3,GL Alvar,CAR-NBA,21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/20/2016,CAR-NBA.21.5,GL Alvar,CAR-NBA,21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
